Species,Longitude,Latitude,grouping
P_rigida,-84,32,S
P_rigida,-83.1815,34.866,S
P_rigida,-83.19227,35.03572,S
P_rigida,-82.686455,35.050264,S
P_rigida,-83.42839,35.06036,S
P_rigida,-83.619912,35.083242,S
P_rigida,-82.617017,35.124648,S
P_rigida,-76.00981,35.13,S
P_rigida,-83.036033,35.166539,S
P_rigida,-82.328889,35.248889,S
P_rigida,-82.827575,35.362355,S
P_rigida,-83.433995,35.465668,S
P_rigida,-82.55651,35.63348,S
P_rigida,-83.430305,35.677903,S
P_rigida,-82.19166,35.73555,S
P_rigida,-81.38834,36.28472,S
P_rigida,-80.268587,36.396297,S
P_rigida,-80,37,S
P_rigida,-80.52526,37.37566,S
P_rigida,-80.2514,37.7633,S
P_rigida,-78.987822,37.977587,S
P_rigida,-81.078448,38.069966,S
P_rigida,-79.291111,38.420833,M
P_rigida,-78.465522,38.449495,M
P_rigida,-75.0558,38.4978,M
P_rigida,-75.0611,38.5925,M
P_rigida,-75.33954,38.683303,M
P_rigida,-77.1114,38.6917,M
P_rigida,-76.8481,38.6967,M
P_rigida,-77.0011,38.7611,M
P_rigida,-88.165278,38.776111,M
P_rigida,-77.8392,38.7922,M
P_rigida,-77.4661,38.7967,M
P_rigida,-77.11,38.8089,M
P_rigida,-82.999028,38.815019,M
P_rigida,-79.366113,38.836349,M
P_rigida,-78.327949,38.862425,M
P_rigida,-77.706104,38.863027,M
P_rigida,-76.9317,38.8894,M
P_rigida,-77.0575,38.8994,M
P_rigida,-74.96521,38.933243,M
P_rigida,-76.695494,38.942789,M
P_rigida,-79.253081,38.972704,M
P_rigida,-80,39,M
P_rigida,-76.935992,39.002786,M
P_rigida,-76.762792,39.027875,M
P_rigida,-81.85564,39.04947,M
P_rigida,-76.5225,39.0736,M
P_rigida,-76.809626,39.111993,M
P_rigida,-76.482403,39.164875,M
P_rigida,-76.959818,39.177045,M
P_rigida,-76.719278,39.191969,M
P_rigida,-77.3908,39.2625,M
P_rigida,-78.497392,39.337578,M
P_rigida,-74.524042,39.389839,M
P_rigida,-75.7,39.4,M
P_rigida,-74.503285,39.514953,M
P_rigida,-82.669947,39.523973,M
P_rigida,-74.647778,39.528611,M
P_rigida,-74.407335,39.618999,M
P_rigida,-79.815534,39.636625,M
P_rigida,-74.65798,39.656355,M
P_rigida,-77.4239,39.6619,M
P_rigida,-74.230282,39.700197,M
P_rigida,-76.076859,39.726652,M
P_rigida,-78.341958,39.732812,M
P_rigida,-75.94669,39.737177,M
P_rigida,-74.727556,39.739222,M
P_rigida,-74.104702,39.761051,M
P_rigida,-74.276195,39.785895,M
P_rigida,-79.178147,39.786091,M
P_rigida,-74.545664,39.80729,M
P_rigida,-74.215064,39.904317,M
P_rigida,-74.62,39.92,M
P_rigida,-77.941242,39.92017,M
P_rigida,-77.448708,39.935988,M
P_rigida,-74.476928,39.963731,M
P_rigida,-75.6,39.97,M
P_rigida,-74.125893,39.984897,M
P_rigida,-77.372986,40.005154,M
P_rigida,-78.191195,40.029337,M
P_rigida,-74.155915,40.076815,M
P_rigida,-78.340438,40.07706,M
P_rigida,-74.434976,40.10738,M
P_rigida,-74.755161,40.11761,M
P_rigida,-75.514047,40.186767,M
P_rigida,-74.050972,40.296222,M
P_rigida,-74.9375,40.34583,M
P_rigida,-74.560862,40.3506,M
P_rigida,-74.251329,40.36202,M
P_rigida,-74.427683,40.382874,M
P_rigida,-74.150397,40.436738,M
P_rigida,-73.994802,40.458552,M
P_rigida,-74.31633,40.467062,M
P_rigida,-74.435952,40.482955,M
P_rigida,-73.8806,40.53,M
P_rigida,-74.226853,40.54352,M
P_rigida,-75.161285,40.561768,M
P_rigida,-73.825139,40.617467,M
P_rigida,-73.625471,40.622024,M
P_rigida,-73.218581,40.632447,M
P_rigida,-74.450986,40.63788,M
P_rigida,-73.055,40.66861,M
P_rigida,-73.944167,40.678056,M
P_rigida,-73.515354,40.68144,M
P_rigida,-74.0786,40.7094,M
P_rigida,-73.27,40.73,M
P_rigida,-72.84972,40.77805,M
P_rigida,-73.1106,40.7867,M
P_rigida,-75.364237,40.792728,M
P_rigida,-73.961468,40.795239,M
P_rigida,-77.989929,40.799679,M
P_rigida,-72.65,40.82,M
P_rigida,-76,40.8333,M
P_rigida,-74.276536,40.839822,M
P_rigida,-73.2625,40.84028,M
P_rigida,-73.880433,40.864794,M
P_rigida,-72.518056,40.868889,M
P_rigida,-72.79792,40.8733,M
P_rigida,-72.93,40.88,M
P_rigida,-75.758998,40.886158,M
P_rigida,-73.091606,40.904483,M
P_rigida,-72.670297,40.911484,M
P_rigida,-75.113045,40.9682,M
P_rigida,-72.1041,40.981,M
P_rigida,-74.998772,41.038206,M
P_rigida,-71.857021,41.070472,N
P_rigida,-75.423211,41.108865,N
P_rigida,-81.699881,41.203473,N
P_rigida,-73.06027,41.22416,N
P_rigida,-72.856365,41.255253,N
P_rigida,-72.736896,41.263498,N
P_rigida,-74.69333,41.29222,N
P_rigida,-74.006762,41.310733,N
P_rigida,-70.303725,41.336444,N
P_rigida,-70.74475,41.343169,N
P_rigida,-72.874203,41.366632,N
P_rigida,-72.585687,41.367578,N
P_rigida,-77.469001,41.390361,N
P_rigida,-70.539315,41.397474,N
P_rigida,-81.590443,41.424656,N
P_rigida,-74.762108,41.424815,N
P_rigida,-74.001623,41.425896,N
P_rigida,-72.679659,41.441148,N
P_rigida,-71.246667,41.486833,N
P_rigida,-81.93471,41.487652,N
P_rigida,-71.7096,41.5164,N
P_rigida,-72.54361,41.51972,N
P_rigida,-70.648733,41.5271,N
P_rigida,-71.92138,41.58388,N
P_rigida,-72.87972,41.605,N
P_rigida,-72.66361,41.60972,N
P_rigida,-70.42617,41.625004,N
P_rigida,-70.568512,41.635578,N
P_rigida,-71.552476,41.657004,N
P_rigida,-74.3583,41.6719,N
P_rigida,-72.08138,41.69833,N
P_rigida,-70.141175,41.699947,N
P_rigida,-71.68333,41.7,N
P_rigida,-71.81694,41.70222,N
P_rigida,-69.92777,41.71583,N
P_rigida,-74.195556,41.736111,N
P_rigida,-70.05,41.766667,N
P_rigida,-72.50388,41.79527,N
P_rigida,-72.24082,41.825822,N
P_rigida,-70.680016,41.84639,N
P_rigida,-72.70194,41.905,N
P_rigida,-70.56611,41.91861,N
P_rigida,-73.46916,41.99444,N
P_rigida,-72.73416,41.99472,N
P_rigida,-70.023162,42.001608,N
P_rigida,-71.58083,42.02777,N
P_rigida,-71.88,42.05,N
P_rigida,-71.73944,42.05416,N
P_rigida,-70.189155,42.063308,N
P_rigida,-80.056482,42.065962,N
P_rigida,-73.952914,42.077592,N
P_rigida,-71.198015,42.085225,N
P_rigida,-72.07861,42.10833,N
P_rigida,-70.713098,42.115247,N
P_rigida,-71.55,42.13333,N
P_rigida,-80.030701,42.190221,N
P_rigida,-72.19111,42.2125,N
P_rigida,-71.113615,42.215609,N
P_rigida,-70.92188,42.23477,N
P_rigida,-72.64805,42.24166,N
P_rigida,-74.012854,42.241937,N
P_rigida,-71.90861,42.24583,N
P_rigida,-71.75666,42.25916,N
P_rigida,-72.08333,42.26666,N
P_rigida,-71.61611,42.26944,N
P_rigida,-71.43333,42.3,N
P_rigida,-72.334846,42.301346,N
P_rigida,-72.67222,42.33555,N
P_rigida,-72.227928,42.344856,N
P_rigida,-72.483147,42.350952,N
P_rigida,-72.04527,42.35277,N
P_rigida,-71.78555,42.36666,N
P_rigida,-71.256585,42.366963,N
P_rigida,-71.60833,42.43333,N
P_rigida,-76.501944,42.443889,N
P_rigida,-73.788458,42.446192,N
P_rigida,-71.88333,42.45,N
P_rigida,-71.36666,42.46666,N
P_rigida,-72.00611,42.47361,N
P_rigida,-71.47737,42.514051,N
P_rigida,-72.58277,42.51666,N
P_rigida,-71.75972,42.525,N
P_rigida,-71.11666,42.53333,N
P_rigida,-71.91055,42.54583,N
P_rigida,-72.21666,42.58333,N
P_rigida,-71.91666,42.65,N
P_rigida,-77.053858,42.660903,N
P_rigida,-72.18777,42.6775,N
P_rigida,-70.841161,42.679261,N
P_rigida,-72.04388,42.68611,N
P_rigida,-72.83333,42.7,N
P_rigida,-73.865784,42.713264,N
P_rigida,-71.49194,42.74861,N
P_rigida,-70.990482,42.77372,N
P_rigida,-70.8175,42.81861,N
P_rigida,-72.590927,42.917905,N
P_rigida,-77.5244,43.2183,N
P_rigida,-70.624542,43.406108,N
P_rigida,-71.423356,43.518692,N
P_rigida,-70.471175,43.546204,N
P_rigida,-70.232793,43.561307,N
P_rigida,-70.798948,43.613281,N
P_rigida,-73.547746,43.622334,N
P_rigida,-73.001731,43.626663,N
P_rigida,-70.444167,43.679444,N
P_rigida,-70.974507,43.69227,N
P_rigida,-70.24285,43.70552,N
P_rigida,-72.98623,43.72104,N
P_rigida,-69.729291,43.782575,N
P_rigida,-71.201665,43.867567,N
P_rigida,-69.959782,43.88005,N
P_rigida,-70.3355,43.9364,N
P_rigida,-73.077178,43.947808,N
P_rigida,-70.883243,43.954213,N
P_rigida,-71.114604,44.016833,N
P_rigida,-73.280223,44.06935,N
P_rigida,-69.15111,44.2125,N
P_rigida,-68.316675,44.231706,N
P_rigida,-71.30472,44.27055,N
P_rigida,-68.184602,44.32813,N
P_rigida,-73.358035,44.35499,N
P_rigida,-68.06329,44.380656,N
P_rigida,-73.23764,44.401314,N
P_rigida,-68.244171,44.407261,N
P_rigida,-73.102206,44.486407,N
P_rigida,-73.48024,44.50375,N
P_rigida,-68.151829,44.526507,N
P_rigida,-73.301068,44.55464,N
P_rigida,-73.195663,44.938741,N